date,symbol,Short Percentage Of Float
01/13/17,A,1.37
01/13/17,AA,3.06
01/13/17,AAC,31.79
01/13/17,AAL,5.69
01/13/17,AAMC,24.29
01/13/17,AAME,0.08
01/13/17,AAN,6.13
01/13/17,AAOI,12.51
01/13/17,AAON,3.9
01/13/17,AAP,8.14
01/13/17,AAPL,0.85
01/13/17,AAT,2.28
01/13/17,AAWW,4.22
01/13/17,AB,0.8
01/13/17,ABAC,0.08
01/13/17,ABAX,16.82
01/13/17,ABBV,2.07
01/13/17,ABC,9.22
01/13/17,ABCB,2.6
01/13/17,ABCD,1
01/13/17,ABCO,8.38
01/13/17,ABDC,1.08
01/13/17,ABE,0.03
01/13/17,ABEO,22.29
01/13/17,ABG,8.7
01/13/17,ABIL,1.63
01/13/17,ABIO,2.84
01/13/17,ABM,3.44
01/13/17,ABMD,5.67
01/13/17,ABR,0.31
01/13/17,ABT,1.22
01/13/17,ABTL,1.68
01/13/17,ABUS,2.54
01/13/17,ABY,4.31
01/13/17,AC,1.96
01/13/17,ACAD,29.78
01/13/17,ACAT,22.31
01/13/17,ACC,3.47
01/13/17,ACCO,2.85
01/13/17,ACET,8.33
01/13/17,ACFC,0.11
01/13/17,ACGL,1.65
01/13/17,ACHC,23.93
01/13/17,ACHN,8.62
01/13/17,ACIW,8.95
01/13/17,ACLS,4.04
01/13/17,ACM,3.93
01/13/17,ACN,1.55
01/13/17,ACNB,0.85
01/13/17,ACOR,13.78
01/13/17,ACRE,0.66
01/13/17,ACRS,27.87
01/13/17,ACRX,12.97
01/13/17,ACSF,0.31
01/13/17,ACTA,3.38
01/13/17,ACTG,1.31
01/13/17,ACU,0.12
01/13/17,ACUR,1.14
01/13/17,ACXM,4.33
01/13/17,ACY,0.17
01/13/17,ADBE,1.03
01/13/17,ADC,5.28
01/13/17,ADGE,0.25
01/13/17,ADI,4.93
01/13/17,ADK,1.07
01/13/17,ADM,2.09
01/13/17,ADMA,1.28
01/13/17,ADMP,16.3
01/13/17,ADMS,26.88
01/13/17,ADP,1.58
01/13/17,ADRO,19.42
01/13/17,ADS,5.05
01/13/17,ADSK,4.97
01/13/17,ADTN,2.65
01/13/17,ADUS,2.86
01/13/17,ADVM,1.63
01/13/17,ADXS,32.84
01/13/17,AE,1.37
01/13/17,AEE,2.87
01/13/17,AEGN,1.62
01/13/17,AEHR,1.31
01/13/17,AEIS,3.65
01/13/17,AEL,2.5
01/13/17,AEMD,1.7
01/13/17,AEO,22.54
01/13/17,AEP,1.08
01/13/17,AER,5.72
01/13/17,AERI,20.66
01/13/17,AES,1.3
01/13/17,AET,1.42
01/13/17,AETI,0.6
01/13/17,AEY,0.08
01/13/17,AF,3.18
01/13/17,AFAM,4.36
01/13/17,AFG,0.89
01/13/17,AFH,2.32
01/13/17,AFI,1.88
01/13/17,AFL,2.15
01/13/17,AFSI,7.72
01/13/17,AGCO,10.78
01/13/17,AGEN,13.96
01/13/17,AGFS,6.87
01/13/17,AGII,0.42
01/13/17,AGIO,59.36
01/13/17,AGN,5.6
01/13/17,AGNC,2.69
01/13/17,AGO,3.36
01/13/17,AGR,4
01/13/17,AGRO,1.34
01/13/17,AGRX,5.73
01/13/17,AGTC,1.68
01/13/17,AGX,2.45
01/13/17,AGYS,3.38
01/13/17,AHC,0.09
01/13/17,AHGP,0.68
01/13/17,AHH,3.37
01/13/17,AHL,0.65
01/13/17,AHP,2.66
