date,symbol,Short Percentage Of Float
01/11/05,A,1.23
01/11/05,AAME,0.02
01/11/05,AAON,0.61
01/11/05,AAP,2.58
01/11/05,AAPL,3.85
01/11/05,AB,1.07
01/11/05,ABAX,5.33
01/11/05,ABC,6.53
01/11/05,ABCB,0.5
01/11/05,ABCO,5.05
01/11/05,ABEO,0.44
01/11/05,ABG,0.62
01/11/05,ABIO,3.55
01/11/05,ABM,1.36
01/11/05,ABMD,5.7
01/11/05,ABR,2.41
01/11/05,ABT,0.69
01/11/05,ABTL,4.56
01/11/05,ACAD,0.04
01/11/05,ACAS,8.35
01/11/05,ACAT,1.98
01/11/05,ACC,1.5
01/11/05,ACET,2.29
01/11/05,ACFC,0.18
01/11/05,ACFN,0.01
01/11/05,ACGL,0.28
01/11/05,ACIW,1.73
01/11/05,ACLS,3.28
01/11/05,ACN,0.29
01/11/05,ACTA,5.23
01/11/05,ACTG,0.98
01/11/05,ACU,0.48
01/11/05,ACXM,3.06
01/11/05,ADAT,9.4
01/11/05,ADBE,2.91
01/11/05,ADC,0.15
01/11/05,ADI,2.33
01/11/05,ADM,0.69
01/11/05,ADMP,0.32
01/11/05,ADP,0.78
01/11/05,ADS,1.62
01/11/05,ADSK,2.1
01/11/05,ADTN,3.64
01/11/05,ADVS,2.05
01/11/05,AE,0.04
01/11/05,AEE,1.75
01/11/05,AEGN,9.54
01/11/05,AEIS,4.54
01/11/05,AEL,7.81
01/11/05,AEO,4.02
01/11/05,AEP,1.91
01/11/05,AEPI,0.41
01/11/05,AES,1.57
01/11/05,AET,2.46
01/11/05,AETI,0.36
01/11/05,AEY,0.03
01/11/05,AF,2.98
01/11/05,AFAM,0.14
01/11/05,AFFX,17.47
01/11/05,AFG,1.68
01/11/05,AFL,0.66
01/11/05,AFOP,0.01
01/11/05,AGCO,4.15
01/11/05,AGEN,20.8
01/11/05,AGII,0.95
01/11/05,AGN,3.21
01/11/05,AGO,0.35
01/11/05,AGYS,3.83
01/11/05,AHL,0.01
01/11/05,AHT,1.15
01/11/05,AI,4.57
01/11/05,AIG,0.71
01/11/05,AIII,0.02
01/11/05,AIN,0.94
01/11/05,AINV,0.87
01/11/05,AIQ,1.78
