date,symbol,Short Percentage Of Float
01/10/06,A,1.53
01/10/06,AAME,0.02
01/10/06,AAON,1.78
01/10/06,AAP,2.13
01/10/06,AAPL,3.04
01/10/06,AB,0.7
01/10/06,ABAX,4.63
01/10/06,ABC,5.12
01/10/06,ABCB,1.94
01/10/06,ABCO,4.28
01/10/06,ABEO,0.15
01/10/06,ABG,1.55
01/10/06,ABIO,6.9
01/10/06,ABM,2.87
01/10/06,ABMD,5.01
01/10/06,ABR,4.21
01/10/06,ABT,0.32
01/10/06,ABTL,5.72
01/10/06,ACAD,1.86
01/10/06,ACAS,4.16
01/10/06,ACAT,9.99
01/10/06,ACC,2.6
01/10/06,ACCO,2.81
01/10/06,ACET,1
01/10/06,ACFC,0.31
01/10/06,ACGL,0.17
01/10/06,ACIW,3.08
01/10/06,ACLS,2.6
01/10/06,ACN,0.54
01/10/06,ACTA,5.32
01/10/06,ACTG,1.71
01/10/06,ACU,0.01
01/10/06,ACW,2.02
01/10/06,ACXM,3.38
01/10/06,ADAT,2.96
01/10/06,ADBE,2.42
01/10/06,ADC,2.9
01/10/06,ADEP,0.03
01/10/06,ADI,2.06
01/10/06,ADM,0.88
01/10/06,ADP,0.78
01/10/06,ADS,5.1
01/10/06,ADSK,2.91
01/10/06,ADTN,7.37
01/10/06,ADVS,3.57
01/10/06,AE,0.12
01/10/06,AEE,1.19
01/10/06,AEGN,11.47
01/10/06,AEHR,0.02
01/10/06,AEIS,4.05
01/10/06,AEL,9.17
01/10/06,AEO,5.07
01/10/06,AEP,1.72
01/10/06,AEPI,0.9
01/10/06,AES,1.12
01/10/06,AET,1.32
01/10/06,AETI,0.1
01/10/06,AEY,0.14
01/10/06,AF,3.27
01/10/06,AFAM,0.21
01/10/06,AFFX,14.13
01/10/06,AFG,2.44
01/10/06,AFL,0.95
01/10/06,AFOP,0.01
01/10/06,AGCO,9.26
01/10/06,AGEN,17.8
01/10/06,AGII,6.25
01/10/06,AGMA,0.01
01/10/06,AGN,3.88
