date,symbol,Short Percentage Of Float
01/12/04,BAP,0.09
01/12/04,BASI,0.12
01/12/04,BAX,1.29
01/12/04,BBBY,1.88
01/12/04,BBGI,0.16
01/12/04,BBOX,16.63
01/12/04,BBSI,0.06
01/12/04,BBT,1.51
01/12/04,BBX,1.04
01/12/04,BBY,2.73
01/12/04,BC,1.43
01/12/04,BCO,1.51
01/12/04,BCOR,2.28
01/12/04,BCPC,0.05
01/12/04,BCR,1.45
01/12/04,BCRX,0.5
01/12/04,BDC,8.71
01/12/04,BDE,0.92
01/12/04,BDMS,0.01
01/12/04,BDN,0.42
01/12/04,BDR,0.09
01/12/04,BDSI,0.34
01/12/04,BDX,0.71
01/12/04,BEAV,3.31
01/12/04,BEBE,5.11
01/12/04,BEL,0.39
01/12/04,BELFA,0.02
01/12/04,BELFB,1.37
01/12/04,BEN,1.33
01/12/04,BF.A,0.07
01/12/04,BFS,0.26
01/12/04,BG,2.19
01/12/04,BGC,9.29
01/12/04,BGCP,0.77
01/12/04,BGFV,1.4
01/12/04,BGG,3.95
01/12/04,BH,1.98
01/12/04,BHB,0.02
01/12/04,BHE,2.9
01/12/04,BHI,1.78
01/12/04,BHLB,0.26
01/12/04,BID,6.74
01/12/04,BIG,2.32
01/12/04,BIO,2.09
01/12/04,BIOL,38.74
01/12/04,BIOS,9.31
01/12/04,BIRT,0.98
01/12/04,BJRI,8.27
01/12/04,BK,0.7
01/12/04,BKE,0.35
01/12/04,BKH,1.28
01/12/04,BKMU,1.56
01/12/04,BKS,4.51
01/12/04,BKSC,0.31
01/12/04,BLK,1.06
01/12/04,BLL,1.73
01/12/04,BLT,0.11
01/12/04,BLX,0.14
01/12/04,BMI,0.04
01/12/04,BMRC,0.24
01/12/04,BMRN,3.36
01/12/04,BMS,1.63
01/12/04,BMTC,1.41
01/12/04,BMY,0.88
01/12/04,BNCN,0.06
01/12/04,BNSO,1.74
01/12/04,BOBE,1.9
01/12/04,BOH,1.52
01/12/04,BOKF,0.11
01/12/04,BOLT,0.13
01/12/04,BONT,1.38
01/12/04,BOSC,0.03
01/12/04,BPFH,12.07
01/12/04,BPL,0.84
01/12/04,BPOP,0.52
01/12/04,BPT,3.49
01/12/04,BRC,0.37
01/12/04,BRCD,2.47
01/12/04,BRCM,3.99
01/12/04,BREW,2.72
01/12/04,BRID,0.2
01/12/04,BRK.B,0.07
01/12/04,BRKL,6.84
01/12/04,BRKR,0.64
01/12/04,BRKS,4.54
01/12/04,BRLI,0.93
01/12/04,BRN,0.46
01/12/04,BRO,5.35
01/12/04,BRS,2
01/12/04,BRT,0.22
01/12/04,BSET,1.18
01/12/04,BSF,0.03
01/12/04,BSQR,0.27
01/12/04,BSRR,0.26
01/12/04,BSX,2.64
01/12/04,BTH,1.89
01/12/04,BTUI,0.03
01/12/04,BTX,3.28
01/12/04,BUSE,0.92
01/12/04,BVSN,9.31
01/12/04,BVX,0.07
01/12/04,BWA,4.58
01/12/04,BWINA,0.01
01/12/04,BWLD,0.69
01/12/04,BXP,1.02
01/12/04,BXS,0.18
01/12/04,BYBK,0.03
01/12/04,BYD,4.26
