date,symbol,Short Percentage Of Float
01/02/15,BRP,0.04
01/02/15,NES,0
01/15/15,A,1
01/15/15,AAC,10.77
01/15/15,AAL,2.92
01/15/15,AAMC,12.96
01/15/15,AAME,0.16
01/15/15,AAN,9.31
01/15/15,AAOI,12.72
01/15/15,AAON,2.29
01/15/15,AAP,3.98
01/15/15,AAPL,1.07
01/15/15,AAT,2.55
01/15/15,AAWW,7.76
01/15/15,AB,0.56
01/15/15,ABAC,0.06
01/15/15,ABAX,24.41
01/15/15,ABBV,1.03
01/15/15,ABC,4.31
01/15/15,ABCB,3.9
01/15/15,ABCD,0.15
01/15/15,ABCO,9.68
01/15/15,ABCW,1.45
01/15/15,ABDC,0.36
01/15/15,ABE,0.09
01/15/15,ABEO,2.93
01/15/15,ABG,5.59
01/15/15,ABIL,0.03
01/15/15,ABIO,7.14
01/15/15,ABM,1.67
01/15/15,ABMD,15.48
01/15/15,ABR,0.14
01/15/15,ABT,0.81
01/15/15,ABTL,0.99
01/15/15,ABUS,16.64
01/15/15,ABY,4.02
01/15/15,ACAD,32.2
01/15/15,ACAS,1.77
01/15/15,ACAT,6.53
01/15/15,ACC,2.02
01/15/15,ACCO,9.19
01/15/15,ACET,3.95
01/15/15,ACFC,0.73
01/15/15,ACFN,4.11
01/15/15,ACGL,0.79
01/15/15,ACHC,10.75
01/15/15,ACHN,29.97
01/15/15,ACIW,5.35
01/15/15,ACLS,2.12
01/15/15,ACM,4.26
01/15/15,ACN,2.71
01/15/15,ACNB,0.35
01/15/15,ACOR,11.85
01/15/15,ACRE,1.71
01/15/15,ACRX,33.46
01/15/15,ACSF,0.3
01/15/15,ACTA,4.12
01/15/15,ACTG,22.4
01/15/15,ACU,0.08
01/15/15,ACUR,2.68
01/15/15,ACW,2.63
01/15/15,ACXM,3.04
01/15/15,ACY,0.19
01/15/15,ADAT,0.78
01/15/15,ADBE,0.95
01/15/15,ADC,2.46
01/15/15,ADEP,5.5
01/15/15,ADGE,0.19
01/15/15,ADHD,5.9
01/15/15,ADI,1.89
01/15/15,ADK,0.66
01/15/15,ADM,1.61
01/15/15,ADMA,1.86
01/15/15,ADMP,4.01
01/15/15,ADMS,1.88
01/15/15,ADNC,8.03
01/15/15,ADP,1.5
01/15/15,ADS,3.37
01/15/15,ADSK,1.72
01/15/15,ADT,27.64
01/15/15,ADTN,11.34
01/15/15,ADUS,2.03
01/15/15,ADVM,9.24
01/15/15,ADVS,3.34
01/15/15,ADXS,8.3
01/15/15,AE,1.94
01/15/15,AEE,1.37
01/15/15,AEGN,2.91
01/15/15,AEGR,39.14
01/15/15,AEHR,0.15
01/15/15,AEIS,3.38
01/15/15,AEL,2.89
01/15/15,AEO,18.28
01/15/15,AEP,1.36
01/15/15,AEPI,3.35
01/15/15,AER,6.75
01/15/15,AERI,14.22
01/15/15,AES,1.35
01/15/15,AET,1.29
01/15/15,AETI,1.34
01/15/15,AEY,0.04
01/15/15,AF,8.35
01/15/15,AFAM,3.72
01/15/15,AFCB,0.14
01/15/15,AFFX,16.33
01/15/15,AFG,0.56
01/15/15,AFH,2.59
01/15/15,AFL,1.57
01/15/15,AFOP,7.47
01/15/15,AFSI,18.7
01/15/15,AGCO,16.46
01/15/15,AGEN,12.05
01/15/15,AGII,1.22
01/15/15,AGIO,10.79
01/15/15,AGN,10.93
01/15/15,AGNC,1.42
01/15/15,AGO,3.01
01/15/15,AGRO,0.95
01/15/15,AGRX,0.44
01/15/15,AGTC,5.29
01/15/15,AGX,1.84
01/15/15,AGYS,3.64
01/15/15,AHC,1.53
01/15/15,AHGP,0.94
01/15/15,AHH,2.27
01/15/15,AHL,1.03
01/15/15,AHP,2.95
01/15/15,AHPI,0.42
01/15/15,AHT,2.78
01/15/15,AI,13.39
01/15/15,AIG,1
01/15/15,AIII,0.29
01/15/15,AIMC,11.71
01/15/15,AIN,1.83
01/15/15,AINC,3.89
01/15/15,AINV,6.46
01/15/15,AIQ,2.08
01/15/15,AIR,2.35
01/15/15,AIRI,0.08
01/15/15,AIRM,27.28
01/15/15,AIRT,1.65
01/15/15,AIT,3.2
01/15/15,AIV,4.64
01/15/15,AIZ,3.19
01/15/15,AJG,1.43
01/15/15,AJRD,19.68
01/15/15,AKAM,2.69
01/15/15,AKAO,2.38
01/15/15,AKBA,8.12
01/15/15,AKR,7.1
01/15/15,AKRX,13.95
01/15/15,AKS,36.3
01/15/15,AL,2.2
01/15/15,ALB,11.11
01/15/15,ALBO,5.02
01/15/15,ALCO,2.56
01/15/15,ALDR,7.6
01/15/15,ALDW,2.93
01/15/15,ALDX,0.2
01/15/15,ALE,6.92
01/15/15,ALEX,2.78
01/15/15,ALG,1.89
01/15/15,ALGN,7.07
01/15/15,ALGT,6.95
01/15/15,ALIM,8.03
01/15/15,ALJ,47.94
01/15/15,ALK,5.89
01/15/15,ALKS,6.32
01/15/15,ALL,1.06
01/15/15,ALLB,0.18
01/15/15,ALLE,2.36
01/15/15,ALLT,4.38
01/15/15,ALLY,4.08
01/15/15,ALN,0.21
01/15/15,ALNY,9.03
01/15/15,ALOG,5.28
01/15/15,ALOT,0.16
01/15/15,ALQA,0.49
01/15/15,ALR,2.44
01/15/15,ALSK,0.46
01/15/15,ALSN,1.88
01/15/15,ALTR,2.96
01/15/15,ALTV,0.12
