date,symbol,Short Percentage Of Float
01/02/13,BRP,0
01/02/13,IMN,1.01
01/02/13,NES,0.02
01/02/13,PLL,0.02
01/02/13,PPO,0
01/02/13,TOR,0
01/15/13,A,2.07
01/15/13,AAME,0.03
01/15/13,AAN,1.55
01/15/13,AAON,5.01
01/15/13,AAP,1.29
01/15/13,AAPL,1.89
01/15/13,AAT,3.03
01/15/13,AAWW,2.58
01/15/13,AB,0.77
01/15/13,ABAX,11.06
01/15/13,ABBV,0.62
01/15/13,ABC,3.42
01/15/13,ABCB,6.3
01/15/13,ABCD,0.18
01/15/13,ABCO,4.24
01/15/13,ABG,7.16
01/15/13,ABIO,4.67
01/15/13,ABM,2.13
01/15/13,ABMD,24.06
01/15/13,ABR,0.64
01/15/13,ABT,0.96
01/15/13,ABTL,0.24
01/15/13,ABUS,0.06
01/15/13,ACAD,5.58
01/15/13,ACAS,1.8
01/15/13,ACAT,7.07
01/15/13,ACC,1.74
01/15/13,ACCO,33.88
01/15/13,ACET,2.07
01/15/13,ACFC,0.43
01/15/13,ACFN,23.74
01/15/13,ACGL,3.57
01/15/13,ACHC,16.97
01/15/13,ACHN,30.3
01/15/13,ACIW,6.06
01/15/13,ACLS,1.89
01/15/13,ACM,1.35
01/15/13,ACN,0.77
01/15/13,ACNB,0.02
01/15/13,ACOR,8.79
01/15/13,ACRE,3.78
01/15/13,ACRX,23.63
01/15/13,ACTA,2.67
01/15/13,ACTG,4.36
01/15/13,ACU,0.38
01/15/13,ACUR,11.29
01/15/13,ACW,4.48
01/15/13,ACXM,2.82
01/15/13,ACY,0.17
01/15/13,ADAT,3.01
01/15/13,ADBE,2.64
01/15/13,ADC,2.28
01/15/13,ADEP,0.32
01/15/13,ADGE,2.59
01/15/13,ADI,1.65
01/15/13,ADK,1.5
01/15/13,ADM,1.59
01/15/13,ADNC,4.65
01/15/13,ADP,0.93
01/15/13,ADS,21.43
01/15/13,ADSK,1.57
01/15/13,ADT,1.98
01/15/13,ADTN,19.94
01/15/13,ADUS,0.33
01/15/13,ADVS,5.24
01/15/13,AE,2.02
01/15/13,AEE,0.62
01/15/13,AEGN,8.98
01/15/13,AEGR,14.69
01/15/13,AEHR,0.11
01/15/13,AEIS,4.86
01/15/13,AEL,16.33
01/15/13,AEO,4.56
01/15/13,AEP,0.74
01/15/13,AEPI,7.8
01/15/13,AER,0.22
01/15/13,AES,0.58
01/15/13,AET,5.81
01/15/13,AEY,0.14
01/15/13,AF,11.58
01/15/13,AFAM,4.85
01/15/13,AFCB,0.11
01/15/13,AFFX,17.52
01/15/13,AFG,0.82
01/15/13,AFL,2.09
01/15/13,AFOP,0.28
01/15/13,AFSI,14.37
01/15/13,AGCO,2.74
01/15/13,AGEN,5.09
01/15/13,AGII,2.57
01/15/13,AGNC,1.47
01/15/13,AGO,1.62
01/15/13,AGRO,0.59
01/15/13,AGX,4.92
01/15/13,AGYS,2.14
01/15/13,AHC,0.39
01/15/13,AHGP,0.57
01/15/13,AHL,2.95
01/15/13,AHT,9.97
01/15/13,AI,4.41
01/15/13,AIG,6.46
01/15/13,AIMC,4.19
01/15/13,AIN,4.27
01/15/13,AINV,3.06
01/15/13,AIQ,0.22
01/15/13,AIR,4.46
01/15/13,AIRM,16.81
01/15/13,AIRT,0.05
01/15/13,AIT,3.94
01/15/13,AIV,7.44
01/15/13,AIZ,4.16
01/15/13,AJG,0.81
01/15/13,AJRD,22.51
01/15/13,AKAM,3.26
01/15/13,AKR,7.98
01/15/13,AKRX,15.34
01/15/13,AKS,28.97
01/15/13,AL,6.28
01/15/13,ALB,1.42
01/15/13,ALBO,0.92
01/15/13,ALCO,3.58
01/15/13,ALDW,0.67
01/15/13,ALE,3.12
01/15/13,ALEX,0.78
01/15/13,ALG,1.63
01/15/13,ALGN,15.69
01/15/13,ALGT,10.28
01/15/13,ALIM,4.14
01/15/13,ALJ,3.94
01/15/13,ALK,7.44
01/15/13,ALKS,6.64
01/15/13,ALL,1.36
01/15/13,ALLB,0.15
01/15/13,ALLT,1.6
01/15/13,ALN,0.06
01/15/13,ALNY,7.46
01/15/13,ALOG,4.66
01/15/13,ALOT,0.05
01/15/13,ALR,6.75
01/15/13,ALSK,2.19
01/15/13,ALSN,22.01
01/15/13,ALTI,3.12
01/15/13,ALTR,1.35
01/15/13,ALTV,0.15
01/15/13,ALX,2.95
01/15/13,ALXA,26.62
01/15/13,ALXN,2.69
01/15/13,AMAG,4.5
