date,symbol,Short Percentage Of Float
01/02/09,API,0.37
01/02/09,BWC,0
01/02/09,DW,1.31
01/02/09,FES,1.51
01/02/09,FWM,0
01/02/09,IMN,2.16
01/02/09,RYL,2.54
01/02/09,WLT,0.02
01/15/09,A,1.46
01/15/09,AAME,0.02
01/15/09,AAON,10.23
01/15/09,AAP,2.6
01/15/09,AAPL,2.16
01/15/09,AAWW,4.12
01/15/09,AB,0.46
01/15/09,ABAX,14.86
01/15/09,ABC,2.04
01/15/09,ABCB,3.04
01/15/09,ABCO,4.41
01/15/09,ABG,5.39
01/15/09,ABIO,0.51
01/15/09,ABM,3.66
01/15/09,ABMD,7.15
01/15/09,ABR,19.94
01/15/09,ABT,0.83
01/15/09,ABTL,0.28
01/15/09,ACAD,4.86
01/15/09,ACAS,15.65
01/15/09,ACAT,7.39
01/15/09,ACC,8.3
01/15/09,ACCO,2.51
01/15/09,ACET,2.36
01/15/09,ACFC,0.04
01/15/09,ACFN,0.25
01/15/09,ACGL,2.21
01/15/09,ACHN,0.56
01/15/09,ACIW,5
01/15/09,ACLS,1.69
01/15/09,ACM,1.74
01/15/09,ACN,1.29
01/15/09,ACOR,7.78
01/15/09,ACTA,3.62
01/15/09,ACTG,1.19
01/15/09,ACU,0.17
01/15/09,ACUR,1.76
01/15/09,ACXM,3.04
01/15/09,ACY,0.12
01/15/09,ADAT,0.35
01/15/09,ADBE,2.36
01/15/09,ADC,3.23
01/15/09,ADEP,0.07
01/15/09,ADI,2.95
01/15/09,ADK,0.03
01/15/09,ADM,2.14
01/15/09,ADP,2.73
01/15/09,ADS,16.66
01/15/09,ADSK,4.22
01/15/09,ADTN,8.3
01/15/09,ADVS,15.67
01/15/09,AE,0.11
01/15/09,AEE,1.34
01/15/09,AEGN,17.28
01/15/09,AEHR,0.1
01/15/09,AEIS,2.4
01/15/09,AEL,10.99
01/15/09,AEO,7
01/15/09,AEP,1.41
01/15/09,AEPI,2.64
01/15/09,AER,0.44
01/15/09,AES,1.84
01/15/09,AET,1.23
01/15/09,AETI,0.01
01/15/09,AEY,0.04
01/15/09,AF,5.66
01/15/09,AFAM,15.54
01/15/09,AFFX,8.51
01/15/09,AFG,1.1
01/15/09,AFL,3.78
01/15/09,AFOP,0.06
01/15/09,AFSI,1.94
01/15/09,AGCO,7.07
01/15/09,AGEN,3.69
01/15/09,AGII,1.69
01/15/09,AGN,6.49
01/15/09,AGNC,8.55
01/15/09,AGO,9.09
01/15/09,AGX,0.05
01/15/09,AGYS,4.52
01/15/09,AHC,3.21
01/15/09,AHGP,0.1
01/15/09,AHL,3.41
01/15/09,AHPI,0.04
01/15/09,AHT,9.24
01/15/09,AI,3.74
01/15/09,AIG,4.88
01/15/09,AIII,0.12
01/15/09,AIMC,2.84
01/15/09,AIN,4.39
01/15/09,AINV,6.7
01/15/09,AIQ,1.49
01/15/09,AIR,10.47
01/15/09,AIRM,9.07
01/15/09,AIRT,0.23
01/15/09,AIT,6.37
01/15/09,AIV,13.57
01/15/09,AIZ,1.88
01/15/09,AJG,2.8
01/15/09,AJRD,9.03
01/15/09,AKAM,4.99
01/15/09,AKR,6.99
01/15/09,AKRX,7.7
01/15/09,AKS,5.59
01/15/09,ALB,2.34
01/15/09,ALBO,5
01/15/09,ALCO,4.2
01/15/09,ALE,5.06
01/15/09,ALG,2.28
01/15/09,ALGN,8.56
01/15/09,ALGT,20.77
01/15/09,ALJ,3.5
01/15/09,ALK,5.12
01/15/09,ALKS,7.49
01/15/09,ALL,2.05
01/15/09,ALLT,0.01
01/15/09,ALNY,12.49
01/15/09,ALOG,5.23
01/15/09,ALOT,0.03
01/15/09,ALR,10.87
01/15/09,ALSK,9.81
01/15/09,ALTI,2.98
01/15/09,ALTR,8.06
01/15/09,ALTV,0.07
01/15/09,ALX,1.52
01/15/09,ALXA,4.35
01/15/09,ALXN,10.02
01/15/09,AMAG,28.54
01/15/09,AMAT,2.37
01/15/09,AMCC,4.68
01/15/09,AMD,10.96
01/15/09,AME,1.95
01/15/09,AMED,44.5
01/15/09,AMG,8.2
01/15/09,AMGN,2.3
01/15/09,AMIC,0.19
01/15/09,AMKR,3.62
01/15/09,AMN,3.72
01/15/09,AMNB,0.01
01/15/09,AMOT,0.12
01/15/09,AMP,1.94
01/15/09,AMPH,0.28
01/15/09,AMRB,0.25
01/15/09,AMRI,2.99
01/15/09,AMS,0.06
01/15/09,AMSC,21.46
01/15/09,AMSF,3.51
01/15/09,AMSWA,1.36
01/15/09,AMT,2.59
01/15/09,AMTD,1.6
01/15/09,AMWD,8.47
01/15/09,AMZN,7.39
01/15/09,AN,14.28
01/15/09,ANAD,4.38
01/15/09,ANAT,0.17
01/15/09,ANCX,0.15
01/15/09,ANDE,9.47
01/15/09,ANF,15.96
01/15/09,ANGO,4.09
01/15/09,ANH,2.15
01/15/09,ANIK,0.56
01/15/09,ANIP,0.97
01/15/09,ANN,5.98
01/15/09,ANSS,3.12
01/15/09,ANTM,1.36
01/15/09,ANW,5.95
01/15/09,AOBC,2.85
01/15/09,AOI,3.05
01/15/09,AON,1.69
01/15/09,AOS,6.18
01/15/09,AP,1.87
01/15/09,APA,2.48
01/15/09,APAGF,0.27
01/15/09,APC,2.49
01/15/09,APD,1.4
01/15/09,APEI,8.51
01/15/09,APH,1.9
01/15/09,APL,4.55
01/15/09,APLP,0.03
01/15/09,APOG,6.04
01/15/09,APOL,5.63
01/15/09,APRI,0.55
01/15/09,APT,0.01
01/15/09,APU,0.28
01/15/09,ARAY,6.7
01/15/09,ARC,2.14
01/15/09,ARCB,18.8
01/15/09,ARCC,7.48
01/15/09,ARCI,0.24
01/15/09,ARCW,0.05
01/15/09,ARE,15.51
01/15/09,AREX,1.31
01/15/09,ARG,2.24
01/15/09,ARIA,4.25
01/15/09,ARII,4.87
01/15/09,ARKR,0.22
01/15/09,ARL,0.02
01/15/09,ARLP,0.62
01/15/09,ARLZ,9.18
01/15/09,ARNA,16.12
01/15/09,AROC,8.55
01/15/09,ARQL,4.74
01/15/09,ARR,0.01
01/15/09,ARRS,7.19
01/15/09,ARRY,9.31
01/15/09,ARTW,0.04
01/15/09,ARTX,0.54
01/15/09,ARUN,2.63
01/15/09,ARW,1.59
01/15/09,ARWR,0.64
01/15/09,ASB,8.71
01/15/09,ASBI,0.04
01/15/09,ASEI,6.34
01/15/09,ASFI,6.88
01/15/09,ASGN,2.84
01/15/09,ASH,2.2
01/15/09,ASNA,6.23
01/15/09,ASRV,0.85
01/15/09,ASTC,0.07
01/15/09,ASTE,8.17
01/15/09,ASTI,4.88
01/15/09,ASUR,0.38
01/15/09,ASYS,1.11
01/15/09,ATAX,0.04
01/15/09,ATEA,0.09
01/15/09,ATEC,1.17
01/15/09,ATHN,10.91
01/15/09,ATHX,0.15
01/15/09,ATI,11.35
01/15/09,ATLC,16.64
01/15/09,ATLO,0.97
01/15/09,ATML,1.29
01/15/09,ATNI,1.11
01/15/09,ATO,0.98
01/15/09,ATR,3.43
01/15/09,ATRC,0.42
