date,symbol,Short Percentage Of Float
01/09/07,A,1.45
01/09/07,AAME,0.08
01/09/07,AAON,2.7
01/09/07,AAP,1.05
01/09/07,AAPL,2.99
01/09/07,AAWW,4.72
01/09/07,AB,0.91
01/09/07,ABAX,12.34
01/09/07,ABCB,3.07
01/09/07,ABCO,7.96
01/09/07,ABG,1.62
01/09/07,ABIO,8.82
01/09/07,ABM,2.9
01/09/07,ABMD,8.58
01/09/07,ABR,4.08
01/09/07,ABT,0.87
01/09/07,ABTL,3.68
01/09/07,ACAD,7.81
01/09/07,ACAS,4.07
01/09/07,ACAT,12.63
01/09/07,ACC,4.07
01/09/07,ACCO,6.99
01/09/07,ACET,0.11
01/09/07,ACFC,0.45
01/09/07,ACGL,0.15
01/09/07,ACHN,0.1
01/09/07,ACIW,5.81
01/09/07,ACLS,3.99
01/09/07,ACN,0.43
01/09/07,ACOR,5.53
01/09/07,ACTA,9.43
01/09/07,ACTG,3.03
01/09/07,ACU,0.04
01/09/07,ACW,3.86
01/09/07,ACXM,2.08
01/09/07,ACY,2.67
01/09/07,ADAT,2.04
01/09/07,ADBE,2.41
01/09/07,ADC,2.45
01/09/07,ADEP,0.14
01/09/07,ADI,2.95
01/09/07,ADK,0.4
01/09/07,ADM,0.65
01/09/07,ADP,0.52
01/09/07,ADS,3.9
01/09/07,ADSK,2.64
01/09/07,ADTN,11.18
01/09/07,ADVS,8.82
01/09/07,AE,0.17
01/09/07,AEE,4.2
01/09/07,AEGN,17.56
01/09/07,AEHR,0.27
01/09/07,AEIS,7.86
01/09/07,AEL,11.02
01/09/07,AEO,8.12
01/09/07,AEP,1.39
01/09/07,AEPI,3.47
01/09/07,AER,0.83
01/09/07,AES,1.17
01/09/07,AET,1.06
01/09/07,AETI,0.1
01/09/07,AEY,0.04
01/09/07,AF,6.45
01/09/07,AFAM,0.46
01/09/07,AFFX,22.48
01/09/07,AFG,2.44
01/09/07,AFL,0.92
01/09/07,AFOP,0.27
01/09/07,AFSI,0.88
01/09/07,AGCO,9.83
01/09/07,AGEN,8.1
01/09/07,AGII,6.54
